run_id,steps_total,page_title,stop_reason,links_away,length_bytes,links_count,created_ts,views_30d,vital_level,page_title_normalized
1,18,Manchester Evening Chronicle,reached_philosophy,18.0,7057.0,168.0,2011-09-22T11:27:44Z,75.0,0.0,Manchester Evening Chronicle
1,18,"Sir Edward Hulton, 1st Baronet",reached_philosophy,17.0,0.0,0.0,,0.0,0.0,"Sir Edward Hulton, 1st Baronet"
1,18,British people,reached_philosophy,16.0,196058.0,1022.0,2002-04-21T11:36:49Z,18275.0,0.0,British people
1,18,British Overseas Territories,reached_philosophy,15.0,114010.0,828.0,2003-04-07T22:14:56Z,53930.0,5.0,British Overseas Territories
1,18,Dependent territory,reached_philosophy,14.0,60534.0,1019.0,2003-04-22T09:36:57Z,14773.0,5.0,Dependent territory
1,18,Territory,reached_philosophy,13.0,8850.0,411.0,2006-08-14T10:44:51Z,4874.0,5.0,Territory
1,18,Territory,reached_philosophy,13.0,8850.0,411.0,2006-08-14T10:44:51Z,4874.0,5.0,Territory
1,18,International relations,reached_philosophy,12.0,81801.0,624.0,2002-09-09T01:15:57Z,14892.0,4.0,International relations
1,18,War,reached_philosophy,11.0,120658.0,1154.0,2001-10-15T17:26:44Z,32053.0,2.0,War
1,18,State (polity),reached_philosophy,10.0,117383.0,675.0,2001-10-30T12:31:02Z,28426.0,3.0,State (polity)
1,18,Politics,reached_philosophy,9.0,82511.0,976.0,2001-11-04T12:28:52Z,29942.0,2.0,Politics
1,18,Decision-making,reached_philosophy,8.0,76961.0,452.0,2003-07-12T11:51:43Z,17647.0,5.0,Decision-making
1,18,Psychology,reached_philosophy,7.0,244371.0,921.0,2001-11-06T02:05:30Z,60743.0,2.0,Psychology
1,18,Mind,reached_philosophy,6.0,183016.0,701.0,2001-06-25T12:33:15Z,31215.0,2.0,Mind
1,18,Thought,reached_philosophy,5.0,122922.0,282.0,2002-02-25T15:43:11Z,26719.0,3.0,Thought
1,18,Cognition,reached_philosophy,4.0,98154.0,363.0,2002-10-17T17:24:07Z,32292.0,4.0,Cognition
1,18,Knowledge,reached_philosophy,3.0,191627.0,612.0,2003-06-10T10:45:34Z,41007.0,2.0,Knowledge
1,18,Declarative knowledge,reached_philosophy,2.0,97644.0,239.0,2001-08-20T13:21:23Z,19369.0,0.0,Declarative knowledge
1,18,Awareness,reached_philosophy,1.0,23185.0,308.0,2004-02-27T19:26:33Z,23622.0,0.0,Awareness
1,18,Philosophy,reached_philosophy,0.0,201176.0,697.0,2001-10-31T05:49:04Z,119994.0,1.0,Philosophy
1,18,Philosophy,reached_philosophy,0.0,201176.0,697.0,2001-10-31T05:49:04Z,119994.0,1.0,Philosophy
2,22,%C3%89mile Cornic,reached_philosophy,22.0,0.0,0.0,,0.0,0.0,%C3%89mile Cornic
2,22,Fencing,reached_philosophy,21.0,41052.0,362.0,2001-09-12T14:54:13Z,24285.0,4.0,Fencing
2,22,Combat sport,reached_philosophy,20.0,24031.0,567.0,2005-03-25T09:08:49Z,9825.0,0.0,Combat sport
2,22,Contact sport,reached_philosophy,19.0,14160.0,149.0,2005-10-19T20:13:39Z,6339.0,0.0,Contact sport
2,22,Sport,reached_philosophy,18.0,70220.0,344.0,2001-11-05T06:30:11Z,34081.0,2.0,Sport
2,22,Physical activity,reached_philosophy,17.0,25459.0,112.0,2005-09-23T22:53:37Z,8021.0,5.0,Physical activity
2,22,Skeletal muscle,reached_philosophy,16.0,121964.0,457.0,2003-11-27T03:28:08Z,18893.0,3.0,Skeletal muscle
2,22,Vertebrate,reached_philosophy,15.0,49803.0,387.0,2002-02-25T15:43:11Z,44618.0,3.0,Vertebrate
2,22,Animal,reached_philosophy,14.0,122009.0,1008.0,2001-03-29T04:52:19Z,134424.0,2.0,Animal
2,22,Multicellular,reached_philosophy,13.0,0.0,0.0,,0.0,0.0,Multicellular
2,22,Organism,reached_philosophy,12.0,24653.0,281.0,2001-11-02T15:39:27Z,28854.0,3.0,Organism
2,22,Life,reached_philosophy,11.0,112423.0,1487.0,2001-11-02T16:18:09Z,44654.0,1.0,Life
2,22,Matter,reached_philosophy,10.0,81551.0,575.0,2001-10-14T18:29:21Z,34523.0,3.0,Matter
2,22,Classical physics,reached_philosophy,9.0,5589.0,245.0,2002-11-24T12:33:52Z,20153.0,5.0,Classical physics
